,Case Number,תאריך,סוג מסמך,מספר עמודים,HTML_Link
0,3008/20,21/06/2020,פסק-דין,2,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/080/030/e02&fileName=20030080.E02&type=2
1,3008/20,12/05/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/080/030/s01&fileName=20030080.S01&type=2
0,1978/18,21/06/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/e20&fileName=18019780.E20&type=2
1,1978/18,10/04/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/e19&fileName=18019780.E19&type=2
2,1978/18,01/04/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/e18&fileName=18019780.E18&type=2
3,1978/18,25/03/2019,החלטה,2,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/e17&fileName=18019780.E17&type=2
4,1978/18,19/03/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/e16&fileName=18019780.E16&type=2
5,1978/18,14/03/2019,פסק-דין,18,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/e15&fileName=18019780.E15&type=2
6,1978/18,13/02/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d13&fileName=18019780.D13&type=2
7,1978/18,12/02/2019,החלטה,2,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d12&fileName=18019780.D12&type=2
8,1978/18,30/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d11&fileName=18019780.D11&type=2
9,1978/18,28/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d10&fileName=18019780.D10&type=2
10,1978/18,24/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d09&fileName=18019780.D09&type=2
11,1978/18,22/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d08&fileName=18019780.D08&type=2
12,1978/18,09/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d07&fileName=18019780.D07&type=2
13,1978/18,07/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/d06&fileName=18019780.D06&type=2
14,1978/18,12/11/2018,החלטה,4,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/a05&fileName=18019780.A05&type=2
15,1978/18,29/10/2018,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/780/019/a04&fileName=18019780.A04&type=2
